web_name,team,position,cluster,xG_per90,xA_per90,ict_index,creativity,threat,influence
Haaland,Man City,FWD,0,0.79,0.07,245.9,263.7,1217.0,977.0
Semenyo,Man City,MID,0,0.35,0.08,214.5,495.0,854.0,797.0
B.Fernandes,Man Utd,MID,3,0.35,0.34,269.6,1335.0,437.0,921.4
Gabriel,Arsenal,DEF,2,0.08,0.07,99.2,108.4,199.0,686.8
Rice,Arsenal,MID,3,0.11,0.22,192.2,911.4,273.0,736.2
João Pedro,Chelsea,FWD,0,0.54,0.07,192.7,421.1,795.0,715.4
J.Timber,Arsenal,DEF,3,0.17,0.06,125.7,402.6,352.0,499.0
Thiago,Brentford,FWD,0,0.57,0.06,199.7,275.2,936.0,788.2
Wilson,Fulham,MID,3,0.2,0.17,158.1,486.9,501.0,594.6
Bowen,West Ham,FWD,3,0.2,0.13,184.6,491.0,685.0,670.6
Senesi,Bournemouth,DEF,2,0.05,0.14,137.5,297.3,176.0,899.4
Tarkowski,Everton,DEF,2,0.07,0.05,120.0,185.6,265.0,746.0
Guéhi,Man City,DEF,2,0.12,0.08,125.2,223.2,339.0,688.4
Bruno G.,Newcastle,MID,3,0.21,0.16,168.3,634.3,365.0,682.6
Saka,Arsenal,MID,3,0.32,0.26,202.9,725.9,762.0,538.8
Garner,Everton,MID,3,0.06,0.16,164.5,732.4,207.0,703.2
Casemiro,Man Utd,MID,3,0.2,0.13,145.5,404.2,426.0,622.2
Anderson,Nott'm Forest,MID,3,0.09,0.11,165.7,752.8,232.0,669.0
Rogers,Aston Villa,MID,3,0.18,0.11,182.9,527.6,710.0,592.6
Virgil,Liverpool,DEF,2,0.09,0.04,140.3,178.4,364.0,861.2
Chalobah,Chelsea,DEF,2,0.05,0.04,92.3,96.3,154.0,673.2
Raya,Arsenal,GKP,2,0.0,0.0,48.0,33.4,0.0,445.8
Matheus N.,Man City,DEF,2,0.01,0.07,107.8,418.9,98.0,557.8
Enzo,Chelsea,MID,3,0.36,0.21,206.2,782.7,618.0,660.6
Lacroix,Crystal Palace,DEF,2,0.08,0.03,92.4,79.5,217.0,627.2
O'Reilly,Man City,DEF,3,0.17,0.07,121.7,340.0,356.0,519.8
